repo,priority,opportunity,recommended_frontend_component,recommended_backend_component,recommended_logic_component,recommended_process_component,recommended_eval_or_prompt,evidence_paths
mbarbine__platphormnews-www-prod,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison; AI generated insights, anomaly detection, summaries, and next actions","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",.vscode/mcp.json | CHANGELOG.md | CODE_OF_CONDUCT.md | package.json | pnpm-lock.yaml | pr-description.md | scripts/migrate.sh | src/lib/root-feed-sources.ts | src/lib/schemas/components/docs.schema.json | src/lib/schemas/components/evals.schema.json | src/lib/schemas/components/podcast.schema.json | src/lib/schemas/components/trace.schema.json | src/routes/api/hackernews/+server.ts | src/routes/api/v1/search/+server.ts | src/routes/jobs/+page.svelte | src/routes/rss.xml/+server.ts
mbarbine__platphorm-zine-reader,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/api/docs/route.ts | app/api/mcp/route.ts | app/api/v1/ascii/route.ts | app/feed.xml/route.ts | app/globals.css | components/ui/spinner.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | lib/field-guide-content.ts | pnpm-lock.yaml
mbarbine__platphorm-xml,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",ROADMAP.md | app/api/docs/route.ts | app/api/v1/validate/route.ts | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | components/ui/spinner.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | lib/local-drafts.ts | lib/trace.ts | pnpm-lock.yaml
mbarbine__platphorm-wrestling-webby,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/api/.well-known/mcp.json/route.ts | app/feed.xml/route.ts | app/globals.css | lib/feature-flags.ts | pnpm-lock.yaml | styles/globals.css
mbarbine__platphorm-webhook-simulator,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison; AI generated insights, anomaly detection, summaries, and next actions","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",.Jules/palette.md | DEPLOYMENT_READY.md | app/(public)/changelog/page.tsx | app/(public)/docs/page.tsx | app/.well-known/mcp.json/route.ts | app/api/v1/network/graph/route.ts | app/feed.xml/route.test.ts | app/rss.xml/route.ts | lib/cosmic/fingerprint.test.ts | package.json | pnpm-lock.yaml | public/schemas/evals.schema.json | public/schemas/podcast.schema.json | public/schemas/trace.schema.json
mbarbine__platphorm-vercel-atlas,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",INTEGRATION_STATUS.md | app/.well-known/mcp.json/route.ts | app/docs/loading.tsx | app/feed.xml/route.ts | app/fingerprints/page.tsx | app/integrate/loading.tsx | app/page.tsx | app/rss.xml/route.ts | components/ui/use-toast.ts | fix-logger-tests.js | lib/trace.ts | microfrontends.json | types/pcap-parser.d.ts
mbarbine__platphorm-usl,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",LICENSE-PERMISSIVE.txt | app/api/docs/route.ts | app/api/v1/search/route.ts | app/api/v1/symbols/route.test.ts | app/feed.xml/route.ts | app/jobs/page.tsx | app/privacy/page.tsx | app/rss.xml/route.ts | components/ui/alert-dialog.tsx | pnpm-lock.yaml | styles/globals.css
mbarbine__platphorm-trace,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI assisted experimentation, test generation, and environment guidance; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",CODE_OF_CONDUCT.md | LICENSE-PERMISSIVE.txt | app/.well-known/mcp.json/route.ts | app/api/v1/workflows/route.ts | app/feed.xml/route.ts | app/jobs/page.tsx | app/rss.xml/route.ts | app/tests/app/docs/page.test.tsx | app/traces/page.tsx | components/ui/spinner.tsx | deep-research-report-v2.md | methodology-section.tsx | pnpm-lock.yaml | public/schemas/overlays/evals.schema.json | public/schemas/overlays/insights.schema.json | public/schemas/overlays/podcast.schema.json | public/schemas/overlays/sandbox.schema.json | styles/globals.css | tests/components/about/about-content.test.tsx | tests/lib/security/fingerprint.test.ts
mbarbine__platphorm-svg-factory,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison; AI generated insights, anomaly detection, summaries, and next actions","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",ROADMAP.md | app/api/generate/route.ts | app/api/validate/route.ts | app/docs/page.tsx | app/feed.xml/route.ts | app/globals.css | app/layout.tsx | app/rss.xml/route.ts | components/ui/use-mobile.tsx | components/ui/use-toast.ts | pre-commit-check.sh | public/schemas/evals.schema.json | public/schemas/podcast.schema.json | public/schemas/trace.schema.json
mbarbine__platphorm-stannp-api-wrapper,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/api/auth/login/route.test.ts | app/api/claws/route.ts | app/api/docs/route.ts | app/api/mcp/route.ts | app/rss.xml/route.ts | app/send/page.tsx | jest.setup.ts | pnpm-lock.yaml
mbarbine__platphorm-spec-workbench,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",ARCHITECTURE.md | app/api/v1/imports/[id]/route.ts | app/api/v1/network/spec-coverage/route.ts | app/api/v1/traces/route.ts | app/changelog/page.tsx | app/docs/layout.tsx | app/feed.xml/route.ts | app/globals.css | app/manifest.ts | app/rss.xml/route.ts | components/ui/use-mobile.tsx | lib/platphorm/fingerprint.ts | pnpm-lock.yaml
mbarbine__platphorm-space-news,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/.well-known/mcp.json/route.ts | app/api/docs/route.ts | app/api/v1/search/route.ts | app/feed.xml/route.ts | app/rss.xml/route.ts | components/ui/alert-dialog.tsx | components/ui/spinner.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | lib/platform/trace.ts | pnpm-lock.yaml | styles/globals.css
mbarbine__platphorm-signs,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/api/docs/route.ts | app/api/events/route.ts | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | components/ui/alert-dialog.tsx | components/ui/spinner.tsx | components/ui/use-toast.ts | pnpm-lock.yaml
mbarbine__platphorm-shipments,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/.well-known/mcp.json/route.ts | app/api/docs/route.ts | app/api/v1/fingerprint/route.ts | app/api/v1/rates/calculate/route.ts | app/api/v1/rates/route.ts | app/api/v1/shipments/route.ts | app/feed.xml/route.ts | app/globals.css | app/jobs/page.tsx | app/rss.xml/route.ts | components/shipping/trace-viewer.tsx | components/ui/label.tsx | lib/polymarket-api.ts | plan.md | pnpm-lock.yaml
mbarbine__platphorm-sheets,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison; AI generated insights, anomaly detection, summaries, and next actions","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/.well-known/mcp.json/route.ts | app/api/docs/route.ts | app/api/v1/ingest/[id]/route.ts | app/api/v1/sheets/[id]/trace/route.ts | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | app/search/page.tsx | components/ui/spinner.tsx | components/ui/use-mobile.tsx | pnpm-lock.yaml | schemas/evals.schema.json | schemas/podcast.schema.json
mbarbine__platphorm-sandbox,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI assisted experimentation, test generation, and environment guidance; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",FINAL_STATUS.md | app/(dashboard)/templates/[id]/page.tsx | app/api/docs/route.ts | app/api/v1/sandboxes/route.ts | app/auth/login/page.tsx | app/feed.xml/route.ts | app/globals.css | app/layout.tsx | app/rss.xml/route.ts | components/ui/spinner.tsx | components/ui/use-toast.ts | lib/cosmic/trace-client.ts
mbarbine__platphorm-register,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison; AI generated insights, anomaly detection, summaries, and next actions","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/.well-known/mcp/route.ts | app/api/docs/route.ts | app/globals.css | app/rss.xml/route.ts | components/ui/spinner.tsx | components/ui/use-mobile.tsx | components/ui/use-toast.ts | pnpm-lock.yaml | schemas/evals.schema.json | schemas/podcast.schema.json | schemas/trace.schema.json
mbarbine__platphorm-redteam-arma-landing,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/api/docs/route.ts | app/api/mcp/route.ts | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | components/scroll-progress.tsx | components/ui/alert-dialog.tsx | components/ui/spinner.tsx | components/ui/use-toast.ts | pnpm-lock.yaml
mbarbine__platphorm-real-estate-property-evaluation,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI eval generation, scoring, regression analysis, and model comparison; AI generated insights, anomaly detection, summaries, and next actions","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",.jules/palette.md | CODE_OF_CONDUCT.md | app/api/docs/route.ts | app/api/mcp/route.ts | app/auth/login/page.tsx | app/evaluate/page.tsx | app/globals.css | app/jobs/page.tsx | components/stats-overview.tsx | lib/zillow-etl/types.ts | pnpm-lock.yaml
mbarbine__platphorm-real-estate-NAD,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/admin/analytics/page.tsx | app/api-docs/page.tsx | app/api/log-error/route.ts | app/api/saved-searches/route.ts | app/api/zillow/market/[regionId]/route.ts | app/globals.css | components/admin/user-activity-feed.tsx | components/properties/ai-image-generator.tsx | components/reports/market-insights.tsx | lib/fingerprint.ts | mcp_server.js | pnpm-lock.yaml
mbarbine__platphorm-real-estate,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",.Jules/palette.md | README.md | app/(dashboard)/buyers/page.tsx | app/auth/login/page.tsx | app/globals.css | pnpm-lock.yaml | public/.well-known/mcp/manifest.json
mbarbine__platphorm-reader,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",LICENSE-PERMISSIVE.txt | app/api/v1/network/route.ts | app/docs/api-docs-client.tsx | app/feed.xml/route.ts | app/rss.xml/route.ts | components/reader-content.tsx | components/ui/spinner.tsx | components/ui/use-toast.ts | deep-research-report-v2.md | pnpm-lock.yaml | styles/globals.css | tests/lib/flags.test.ts
mbarbine__platphorm-radio-backend,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",README.md | app/api/mcp/route.ts | app/docs/page.tsx | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | lib/types.ts | pnpm-lock.yaml | public/schemas/realm.schema.json
mbarbine__platphorm-quake,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",LICENSE-PERMISSIVE.txt | app/api/docs/route.ts | app/api/errors/route.ts | app/api/v1/model/status/route.ts | app/disclaimer/page.tsx | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | components/content/quake-page-shell.tsx | components/game/weapons/projectile-manager.tsx | pnpm-lock.yaml
mbarbine__platphorm-portfolio-webby,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives; AI process assistant for checklists, SOPs, runbooks, and operational handoffs","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",.jules/palette.md | README.md | app/globals.css | components/skunkworks-content.tsx | lib/projects-data.ts | pnpm-lock.yaml
mbarbine__platphorm-polymaths,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",CHANGELOG.md | CODE_OF_CONDUCT.md | app/.well-known/mcp.json/route.ts | app/api/v1/docs/route.ts | app/api/v1/learning-paths/route.ts | app/feed.xml/route.ts | app/globals.css | app/rss.xml/route.ts | components/glass-card.tsx | components/skip-to-content.tsx | components/ui/use-toast.ts | lib/platphorm/trace.ts | vercel.json
mbarbine__platphorm-polymarket-rss-feed,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI assisted writing, cleanup, conversion, summarization, and validation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",CHANGELOG.md | CODE_OF_CONDUCT.md | LICENSE-PERMISSIVE.txt | anoms-do-not-delete.md | app/api/docs/route.ts | app/feed.xml/route.ts | app/globals.css | app/quality/page.tsx | app/rss.xml/route.ts | lib/trace.ts | pnpm-lock.yaml | tests/unit/utils.test.ts
mbarbine__platphorm-politics,enhance-existing,"AI assisted editing, outline generation, summarization, and transformation; AI automation planner, script explanation, runbook synthesis, and approval flow generation; AI documentation Q&A, summarization, indexing, and change explanation; AI generated insights, anomaly detection, summaries, and next actions; AI log triage, clustering, summaries, and incident narratives","Optional assistant panel, explain-this-control affordance, generated summaries, and helpful loading/degraded states.","Provider-neutral server-only model adapter with redaction, rate limiting, trace spans, eval hooks, and no client-exposed secrets.","Reusable prompt input normalizer, output validator, confidence scorer, and domain-specific result formatter.","Document when AI should assist, when human approval is required, what is logged, and how degraded states behave.","Add prompt templates, golden input/output fixtures, regression evals, and safety/quality acceptance checks.",.well-known/mcp.json | app/api/docs/route.ts | app/auth/login/page.tsx | app/globals.css | llms.txt | pnpm-lock.yaml
